iter	Passed	Remaining
414	3411	4808
415	3417	4797
416	3426	4790
417	3432	4779
418	3439	4769
419	3446	4758
420	3452	4748
421	3459	4737
422	3465	4727
423	3472	4717
424	3481	4709
425	3489	4701
426	3495	4691
427	3503	4681
428	3509	4670
429	3517	4662
430	3524	4652
431	3531	4642
432	3537	4632
433	3545	4623
434	3553	4615
435	3562	4608
436	3570	4599
437	3578	4591
438	3587	4584
439	3596	4577
440	3605	4569
441	3613	4562
442	3624	4557
443	3633	4550
444	3643	4543
445	3654	4538
446	3664	4533
447	3677	4530
448	3689	4528
449	3699	4522
450	3709	4515
451	3717	4506
452	3728	4502
453	3739	4497
454	3751	4493
455	3759	4485
456	3770	4479
457	3778	4471
458	3785	4462
459	3794	4454
460	3802	4445
461	3811	4438
462	3821	4432
463	3829	4424
464	3837	4415
465	3849	4411
466	3857	4403
467	3867	4396
468	3878	4391
469	3888	4384
470	3900	4380
471	3909	4372
472	3919	4367
473	3930	4361
474	3944	4359
475	3953	4351
476	3961	4343
477	3968	4334
478	3979	4328
479	3987	4319
480	3995	4310
481	4003	4302
482	4011	4294
483	4021	4286
484	4030	4279
485	4040	4273
486	4050	4267
487	4058	4258
488	4068	4251
489	4077	4243
490	4088	4238
491	4097	4230
492	4106	4223
493	4113	4213
494	4122	4205
495	4131	4197
496	4139	4189
497	4148	4181
498	4157	4173
499	4170	4170
500	4179	4162
501	4203	4170
502	4221	4171
503	4232	4164
504	4242	4158
505	4251	4150
506	4259	4142
507	4268	4134
508	4276	4125
509	4285	4117
510	4294	4109
511	4303	4101
512	4314	4095
513	4324	4089
514	4333	4080
515	4341	4072
516	4351	4065
517	4359	4056
518	4370	4050
519	4380	4043
520	4389	4035
521	4398	4027
522	4408	4020
523	4416	4011
524	4427	4005
525	4436	3997
526	4447	3991
527	4455	3982
528	4466	3976
529	4477	3970
530	4486	3963
531	4498	3957
532	4508	3949
533	4518	3943
534	4528	3935
535	4538	3929
536	4548	3921
537	4558	3914
538	4567	3906
539	4576	3898
540	4585	3890
541	4595	3883
542	4604	3875
543	4612	3866
544	4620	3857
545	4628	3848
546	4637	3840
547	4645	3831
548	4654	3823
549	4664	3816
550	4674	3808
551	4682	3799
552	4692	3793
553	4701	3785
554	4714	3780
555	4724	3772
556	4733	3764
557	4744	3757
558	4755	3751
559	4764	3743
560	4774	3736
561	4782	3727
562	4791	3719
563	4801	3711
564	4810	3703
565	4820	3696
566	4829	3687
567	4837	3679
568	4846	3671
569	4856	3663
570	4866	3656
571	4875	3648
572	4884	3639
573	4893	3631
574	4902	3623
575	4910	3614
576	4920	3607
577	4930	3599
578	4937	3590
579	4945	3581
580	4952	3571
581	4962	3563
582	4968	3554
583	4977	3545
584	4985	3536
585	4992	3527
586	4999	3517
587	5005	3507
588	5011	3497
589	5019	3487
590	5025	3478
591	5032	3468
592	5038	3457
593	5044	3447
594	5051	3438
595	5058	3429
596	5065	3419
597	5072	3410
598	5080	3401
599	5087	3391
600	5093	3381
601	5100	3371
602	5106	3361
603	5112	3351
604	5119	3342
605	5129	3334
606	5138	3326
607	5145	3317
608	5152	3307
609	5160	3299
610	5168	3290
611	5176	3281
612	5184	3273
613	5192	3264
614	5199	3254
615	5206	3245
616	5213	3236
617	5221	3227
618	5229	3218
619	5238	3210
620	5248	3202
621	5256	3194
622	5266	3187
623	5275	3178
624	5282	3169
625	5290	3160
626	5297	3151
627	5304	3142
628	5311	3133
629	5319	3123
630	5326	3114
631	5334	3106
632	5340	3096
633	5347	3086
634	5353	3076
635	5359	3067
636	5366	3058
637	5372	3048
638	5378	3038
639	5384	3028
640	5391	3019
641	5398	3010
642	5407	3002
643	5413	2992
644	5420	2983
645	5427	2974
646	5433	2964
647	5439	2954
648	5446	2945
649	5452	2935
650	5458	2926
651	5464	2916
652	5470	2907
653	5477	2898
654	5484	2888
655	5490	2878
656	5496	2869
657	5502	2860
658	5508	2850
659	5515	2841
660	5523	2832
661	5532	2824
662	5538	2815
663	5545	2806
664	5553	2797
665	5560	2788
666	5566	2779
667	5573	2769
668	5580	2761
669	5586	2751
670	5593	2742
671	5600	2733
672	5606	2723
673	5612	2714
674	5620	2706
675	5626	2696
676	5634	2688
677	5641	2679
678	5649	2671
679	5656	2661
680	5662	2652
681	5670	2643
682	5676	2634
683	5683	2625
684	5689	2616
685	5696	2607
686	5702	2598
687	5710	2589
688	5718	2581
689	5725	2572
690	5732	2563
691	5739	2554
692	5746	2545
693	5754	2537
694	5760	2528
695	5768	2519
696	5776	2511
697	5784	2502
698	5789	2493
699	5797	2484
700	5804	2475
701	5810	2466
702	5816	2457
703	5822	2448
704	5829	2439
705	5835	2430
706	5842	2421
707	5847	2411
708	5854	2402
709	5860	2393
710	5867	2385
711	5875	2376
712	5882	2367
713	5888	2358
714	5895	2349
715	5900	2340
716	5907	2331
717	5916	2323
718	5924	2315
719	5931	2306
720	5937	2297
721	5944	2289
722	5951	2280
723	5957	2271
724	5964	2262
725	5970	2253
726	5978	2244
727	5984	2236
728	5990	2226
729	5997	2218
730	6003	2209
731	6009	2200
732	6015	2191
733	6022	2182
734	6028	2173
735	6034	2164
736	6040	2155
737	6047	2146
738	6052	2137
739	6060	2129
740	6067	2120
741	6075	2112
742	6081	2103
743	6087	2094
744	6094	2086
745	6100	2077
746	6107	2068
747	6114	2060
748	6123	2051
749	6131	2043
750	6138	2035
751	6144	2026
752	6151	2017
753	6156	2008
754	6163	1999
755	6168	1990
756	6175	1982
757	6183	1974
758	6191	1965
759	6198	1957
760	6205	1948
761	6212	1940
762	6219	1931
763	6227	1923
764	6233	1914
765	6241	1906
766	6248	1898
767	6255	1889
768	6264	1881
769	6272	1873
770	6279	1865
771	6287	1856
772	6294	1848
773	6300	1839
774	6307	1831
775	6314	1822
776	6323	1814
777	6330	1806
778	6336	1797
779	6343	1789
780	6350	1780
781	6357	1772
782	6363	1763
783	6371	1755
784	6378	1747
785	6385	1738
786	6391	1729
787	6398	1721
